a;<img src='あ.png'>;Gojūon (五十音)
i;<img src='い.png'>;Gojūon (五十音)
u;<img src='う.png'>;Gojūon (五十音)
e;<img src='え.png'>;Gojūon (五十音)
o;<img src='お.png'>;Gojūon (五十音)
ka;<img src='か.png'>;Gojūon (五十音)
ki;<img src='き.png'>;Gojūon (五十音)
ku;<img src='く.png'>;Gojūon (五十音)
ke;<img src='け.png'>;Gojūon (五十音)
ko;<img src='こ.png'>;Gojūon (五十音)
sa;<img src='さ.png'>;Gojūon (五十音)
shi;<img src='し.png'>;Gojūon (五十音)
su;<img src='す.png'>;Gojūon (五十音)
se;<img src='せ.png'>;Gojūon (五十音)
so;<img src='そ.png'>;Gojūon (五十音)
ta;<img src='た.png'>;Gojūon (五十音)
chi;<img src='ち.png'>;Gojūon (五十音)
tsu;<img src='つ.png'>;Gojūon (五十音)
te;<img src='て.png'>;Gojūon (五十音)
to;<img src='と.png'>;Gojūon (五十音)
na;<img src='な.png'>;Gojūon (五十音)
ni;<img src='に.png'>;Gojūon (五十音)
nu;<img src='ぬ.png'>;Gojūon (五十音)
ne;<img src='ね.png'>;Gojūon (五十音)
no;<img src='の.png'>;Gojūon (五十音)
ha;<img src='は.png'>;Gojūon (五十音)
hi;<img src='ひ.png'>;Gojūon (五十音)
hu/fu;<img src='ふ.png'>;Gojūon (五十音)
he;<img src='へ.png'>;Gojūon (五十音)
ho;<img src='ほ.png'>;Gojūon (五十音)
ma;<img src='ま.png'>;Gojūon (五十音)
mi;<img src='み.png'>;Gojūon (五十音)
mu;<img src='む.png'>;Gojūon (五十音)
me;<img src='め.png'>;Gojūon (五十音)
mo;<img src='も.png'>;Gojūon (五十音)
ya;<img src='や.png'>;Gojūon (五十音)
yu;<img src='ゆ.png'>;Gojūon (五十音)
yo;<img src='よ.png'>;Gojūon (五十音)
ra;<img src='ら.png'>;Gojūon (五十音)
ri;<img src='り.png'>;Gojūon (五十音)
ru;<img src='る.png'>;Gojūon (五十音)
re;<img src='れ.png'>;Gojūon (五十音)
ro;<img src='ろ.png'>;Gojūon (五十音)
wa;<img src='わ.png'>;Gojūon (五十音)
wo;<img src='を.png'>;Gojūon (五十音)
n;<img src='ん.png'>;Gojūon (五十音)
