Kana,Romaji,Type
あ,a,Gojūon (五十音)
い,i,Gojūon (五十音)
う,u,Gojūon (五十音)
え,e,Gojūon (五十音)
お,o,Gojūon (五十音)
か,ka,Gojūon (五十音)
き,ki,Gojūon (五十音)
く,ku,Gojūon (五十音)
け,ke,Gojūon (五十音)
こ,ko,Gojūon (五十音)
さ,sa,Gojūon (五十音)
し,shi,Gojūon (五十音)
す,su,Gojūon (五十音)
せ,se,Gojūon (五十音)
そ,so,Gojūon (五十音)
た,ta,Gojūon (五十音)
ち,chi,Gojūon (五十音)
つ,tsu,Gojūon (五十音)
て,te,Gojūon (五十音)
と,to,Gojūon (五十音)
な,na,Gojūon (五十音)
に,ni,Gojūon (五十音)
ぬ,nu,Gojūon (五十音)
ね,ne,Gojūon (五十音)
の,no,Gojūon (五十音)
は,ha,Gojūon (五十音)
ひ,hi,Gojūon (五十音)
ふ,hu/fu,Gojūon (五十音)
へ,he,Gojūon (五十音)
ほ,ho,Gojūon (五十音)
ま,ma,Gojūon (五十音)
み,mi,Gojūon (五十音)
む,mu,Gojūon (五十音)
め,me,Gojūon (五十音)
も,mo,Gojūon (五十音)
や,ya,Gojūon (五十音)
ゆ,yu,Gojūon (五十音)
よ,yo,Gojūon (五十音)
ら,ra,Gojūon (五十音)
り,ri,Gojūon (五十音)
る,ru,Gojūon (五十音)
れ,re,Gojūon (五十音)
ろ,ro,Gojūon (五十音)
わ,wa,Gojūon (五十音)
を,wo,Gojūon (五十音)
ん,n,Gojūon (五十音)
