kya;きゃ;[sound:きゃ.mp3];Yōon (拗音)
kyu;きゅ;[sound:きゅ.mp3];Yōon (拗音)
kyo;きょ;[sound:きょ.mp3];Yōon (拗音)
gya;ぎゃ;[sound:ぎゃ.mp3];Yōon (拗音)
gyu;ぎゅ;[sound:ぎゅ.mp3];Yōon (拗音)
gyo;ぎょ;[sound:ぎょ.mp3];Yōon (拗音)
sha;しゃ;[sound:しゃ.mp3];Yōon (拗音)
shu;しゅ;[sound:しゅ.mp3];Yōon (拗音)
sho;しょ;[sound:しょ.mp3];Yōon (拗音)
jya;じゃ;[sound:じゃ.mp3];Yōon (拗音)
jyu;じゅ;[sound:じゅ.mp3];Yōon (拗音)
jyo;じょ;[sound:じょ.mp3];Yōon (拗音)
cha;ちゃ;[sound:ちゃ.mp3];Yōon (拗音)
chu;ちゅ;[sound:ちゅ.mp3];Yōon (拗音)
cho;ちょ;[sound:ちょ.mp3];Yōon (拗音)
dya;ぢゃ;[sound:ぢゃ.mp3];Yōon (拗音)
dyu;ぢゅ;[sound:ぢゅ.mp3];Yōon (拗音)
dyo;ぢょ;[sound:ぢょ.mp3];Yōon (拗音)
nya;にゃ;[sound:にゃ.mp3];Yōon (拗音)
nyu;にゅ;[sound:にゅ.mp3];Yōon (拗音)
nyo;にょ;[sound:にょ.mp3];Yōon (拗音)
hya;ひゃ;[sound:ひゃ.mp3];Yōon (拗音)
hyu;ひゅ;[sound:ひゅ.mp3];Yōon (拗音)
hyo;ひょ;[sound:ひょ.mp3];Yōon (拗音)
bya;びゃ;[sound:びゃ.mp3];Yōon (拗音)
byu;びゅ;[sound:びゅ.mp3];Yōon (拗音)
byo;びょ;[sound:びょ.mp3];Yōon (拗音)
pya;ぴゃ;[sound:ぴゃ.mp3];Yōon (拗音)
pyu;ぴゅ;[sound:ぴゅ.mp3];Yōon (拗音)
pyo;ぴょ;[sound:ぴょ.mp3];Yōon (拗音)
mya;みゃ;[sound:みゃ.mp3];Yōon (拗音)
myu;みゅ;[sound:みゅ.mp3];Yōon (拗音)
myo;みょ;[sound:みょ.mp3];Yōon (拗音)
rya;りゃ;[sound:りゃ.mp3];Yōon (拗音)
ryu;りゅ;[sound:りゅ.mp3];Yōon (拗音)
ryo;りょ;[sound:りょ.mp3];Yōon (拗音)
